INTL_20160511_000001	+1 extra instance entry for missions and dungeons		Extra Entrance Infinity Dungeon, Mission 1 kali
INTL_20160511_000002	Perfect Translator		Perfect Translator
INTL_20160511_000003			Title yang diberikan untuk user yang membantu penerjemahan dengan sempurna.
INTL_20160511_000004	Magic Amplifier		Magic Amplifier
INTL_20160511_000005			Kondis Magic power teramplifikasikan dengan Crit Hit dan fair.
INTL_20160511_000006			Kondisi Defense dikurangi.
INTL_20160511_000007			- Memungkinkan training Spesific Skill 2 buah pada saat bersamaan{nl} - Mengurangi Market Sales Commision(30%{img white_right_arrow 16 16}10%){nl} - jumlah Market Sales Registration Item{nl} - Character Movement Speed +3{nl} - Extra Entrance Mission,Infin
INTL_20160511_000008	Token : 60 Days		Token : 60 hari
INTL_20160511_000009			Ketika klik kanan mouse, dan terpakai, maka berlaku benefit selama 60 hari sejak saat pemakaian pada seluruh karakter di dalam server.{nl}[Token Effect]{nl} - memungkinkan Spesific Instant Training{nl} - mengurangi Market Sales Commision (30%{img white_right_arrow 16 16}10%){nl} - Market Sales Registration Item amount 9 pcs{nl} - Character movement speed meningkat +3{nl} - Ketika membunuh monster, EXP meningkat +20%{nl}(PC Cafe benefit, memungkin EXP effect stack){nl} - Dapat menggunakan premium Gesture{nl} - jumlah pemakaian Max buff aplication  meningkat{nl} - memungkinkan Personal Trade 30 kali{nl} - frekuensi Personal Trade 60 kali{nl}
INTL_20160511_000010			Ketika klik kanan mouse dan terpakai, bisa mendapatkan item.{nl} - 650 TP{nl} - Token(60 hari){nl} - Hair Accessories - Popolion Doll{nl} - Hair Accessories - Hanaming Doll{nl} - Hoglan Companion Exchange Coupon{nl} - Stat Reset Potion{nl} - Skill Reset Potion{nl}
INTL_20160511_000011	Use to obtain 650 TP.		Mendapatkan 650 TP ketika pemakaian.
INTL_20160511_000012	Use to obtain 380 TP.		Mendapatkan 380 TP ketika pemakaian.
INTL_20160511_000013	Use to obtain 160 TP.		Mendapatkan 160 TP ketika pemakaian.
INTL_20160511_000014			Terpakai ketika klik kanan mouse, dan bisa mendapatkan item.{nl} - 380 TP{nl} - Token (30 hari){nl} - Hair Accessories - Popolion Doll{nl}
INTL_20160511_000015			Terpakai ketika klik kanan mouse, dan bisa mendapatkan item.{nl} - 160 TP{nl}
INTL_20160511_000016			Mendapatkan 50TP ketika pemakaian. Ketika mendapatkannya pada Inventory Character setelah menggunakannya, maka tidak dapat melakukan pembatalan.
INTL_20160511_000017			Ketika klik kanan mouse, dan terpakai, maka berlaku benefit selama 30 hari sejak saat pemakaian pada seluruh karakter di dalam server.{nl}[Token Effect]{nl} - memungkinkan Spesific Instant Training{nl} - mengurangi Market Sales Commision (30%{img white_right_arrow 16 16}10%){nl} - Market Sales Registration Item amount 9 pcs{nl} - Character movement speed meningkat +3{nl} - Ketika membunuh monster, EXP meningkat +30%{nl}(PC Cafe benefit, memungkin EXP effect stack){nl} - Dapat menggunakan premium Gesture{nl} - jumlah pemakaian Max buff aplication  meningkat{nl} - memungkinkan Personal Trade 30 kali{nl} - frekuensi Personal Trade 30 kali{nl} - Extra entrance Mission, Dungeon 1 kali
INTL_20160511_000018			Ketika klik kanan mouse, dan terpakai, maka berlaku benefit selama 60 hari sejak saat pemakaian pada seluruh karakter di dalam server.{nl}[Token Effect]{nl} - memungkinkan Skill Spesific Instant Training{nl} - mengurangi Market Sales Commision (30%{img white_right_arrow 16 16}10%){nl} - Market Sales Registration Item amount 9 pcs{nl} - Character movement speed meningkat +3{nl} - Ketika membunuh monster, EXP meningkat +30%{nl}(PC Cafe benefit, memungkin EXP effect stack){nl} - Dapat menggunakan premium Gesture{nl} - jumlah pemakaian Max buff aplication  meningkat{nl} - memungkinkan Personal Trade 30 kali{nl} - frekuensi Personal Trade 60 kali{nl} - Extra entrance Mission, Dungeon 1 kali
INTL_20160511_000019	10x Enchant Scroll Box		Magic Enhancement Scroll 10 pcs Box
INTL_20160511_000020	Contains 10 Enchant Scrolls. Right-click to use.		Mendapatkan 10 pcs Magic Enhancement Scroll ketika pemakaian. Mouse klik kanan untuk menggunakannya
INTL_20160511_000021	10x Megaphone Box		Megaphone 10 pcs Box
INTL_20160511_000022	Contains 10 Megaphones. Right-click to use.		Mendapatkan 10 pcs Megaphone ketika digunakan. Mouse klik kanan untuk menggunakannya
INTL_20160511_000023	Use to obtain 455 TP.		Mendapatkan 455 TP ketika pemakaian.
INTL_20160511_000024	Use to obtain 266 TP.		Mendapatkan 266 TP ketika pemakaian.
INTL_20160511_000025	Use to obtain 112 TP.		Mendapatkan 112 TP ketika pemakaian.
INTL_20160511_000026	Hoglan Exchange Coupon 		Hoglan Exchange Coupon 
INTL_20160511_000027			Dapat menukarkan dengan Hoglan di Companion Shop
INTL_20160511_000028			Attack meningkat #{CaptionRatio}#% {nl}SpesificExtra Damage #{CaptionRatio2}#{nl}Durasi 10 detik
INTL_20160511_000029	Token : 30 Days		Token : 30 hari
INTL_20160517_000030	TOS Seriously Leveling Package		TOS Seriously Leveling Package
INTL_20160517_000031			Paket Kejutan menyambut OBT TOS INA, berisi spesial item yang luar biasa. Hanya dijual sebelum OBT berlangsung.
INTL_20160517_000032	Use to obtain 600 TP.		Mendapatkan 600 TP ketika pemakaian.
INTL_20160517_000033	Use to obtain 1300 TP.		Mendapatkan 1300 TP ketika pemakaian.
INTL_20160517_000034	TOS Surprise Package		TOS Surprise Package
INTL_20160517_000035			Paket Kejutan menyambut OBT TOS INA, berisi spesial item yang luar biasa. Hanya dijual sebelum OBT berlangsung.
INTL_20160616_000036		{@st41}충전 페이지	{@st41}Tombol Isi Cash
INTL_20160616_000037		{@st45tw2}TP 구매{/}	{@st45tw2}Beli TP{/}
INTL_20160616_000038		{@st66}구매 관련 공지 사항 {/}	{@st66}Gunakan Gcash untuk membeli TP{nl}TP tidak bisa ditukar Gcash kembali.{/}
INTL_20160616_000039		{@st45tw2}남은캐시 : %s{/}	{@st45tw2}Sisa Cash : %s{/}
INTL_20160616_000040		마우스 우클릭 시 사용되며 구성물을 획득할 수 있습니다.{nl} - 190 TP{nl} - 토큰 - 증정용 (15일){nl} - 고농축 HP/SP포션 20개{nl} - 소울크리스탈 15개{nl} - 확성기 15개{nl} - 워프주문서 15개{nl}	Klik kanan untuk membuka, dapatkan item berikut:{nl} 190 TP {nl} Token 15 Hari {nl} 20 Highly Condensed HP/SP Potion {nl} 15 Soul Crystal {nl} 15 Megaphone {nl} 15 Warp Scroll {nl}
INTL_20160616_000041		사용 시 190 TP를 획득합니다.	Memeroleh 190 TP
INTL_20160616_000042		마우스 우클릭 시 사용되며 구성물을 획득할 수 있습니다.{nl} - 토큰 (30일){nl} - 마법 부여 스크롤 X 4{nl} - 인던 입장 횟수 초기화권 X 5{nl}	Klik kanan untuk membuka, dapatkan item berikut:{nl} 190 TP {nl} Token 30 Hari {nl} Enchant Scroll x4 {nl} Dungeon Reset Scroll x5 {nl}